timestamp,legs,back,arms,shoulders,chest,core,olympic
2022-06-26 00:00:00+00:00,17.0,10.0,10.0,5.0,16.0,0.0,0.0
2022-07-03 00:00:00+00:00,2.0,9.0,20.0,17.0,20.0,0.0,0.0
2022-07-10 00:00:00+00:00,19.0,13.0,5.0,12.0,13.0,0.0,0.0
2022-07-17 00:00:00+00:00,18.0,13.0,18.0,19.0,11.0,0.0,0.0
2022-07-24 00:00:00+00:00,0.0,8.0,11.0,7.0,0.0,0.0,0.0
2022-07-31 00:00:00+00:00,0.0,8.0,5.0,11.0,7.0,0.0,0.0
2022-08-07 00:00:00+00:00,19.0,10.0,3.0,10.0,12.0,0.0,0.0
2022-08-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-21 00:00:00+00:00,0.0,0.0,7.0,9.0,0.0,0.0,0.0
2022-08-28 00:00:00+00:00,9.0,23.0,0.0,8.0,11.0,0.0,0.0
2022-09-04 00:00:00+00:00,13.0,11.0,2.0,7.0,12.0,0.0,0.0
2022-09-11 00:00:00+00:00,25.0,13.0,9.0,10.0,11.0,0.0,0.0
2022-09-18 00:00:00+00:00,13.0,12.0,2.0,11.0,13.0,0.0,0.0
2022-09-25 00:00:00+00:00,0.0,13.0,9.0,4.0,11.0,0.0,0.0
2022-10-02 00:00:00+00:00,0.0,12.0,0.0,0.0,0.0,0.0,0.0
2022-10-09 00:00:00+00:00,3.0,4.0,2.0,0.0,2.0,0.0,0.0
2022-10-16 00:00:00+00:00,9.0,8.0,0.0,7.0,0.0,0.0,0.0
2022-10-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-06 00:00:00+00:00,0.0,0.0,8.0,7.0,0.0,0.0,0.0
2022-11-13 00:00:00+00:00,0.0,5.0,10.0,14.0,11.0,0.0,0.0
2022-11-20 00:00:00+00:00,0.0,12.0,0.0,0.0,11.0,8.0,0.0
2022-11-27 00:00:00+00:00,4.0,0.0,3.0,0.0,0.0,0.0,0.0
2022-12-04 00:00:00+00:00,0.0,3.0,0.0,7.0,0.0,0.0,0.0
2022-12-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-18 00:00:00+00:00,0.0,1.0,8.0,8.0,2.0,0.0,0.0
2022-12-25 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-15 00:00:00+00:00,0.0,0.0,3.0,7.0,0.0,0.0,0.0
